name,location,description,phone,companyUrl
Stalker Radar,"Richardson, TX",Provides radar and speed enforcement equipment installations for police vehicles,972-398-3780,https://www.stalkerradar.com
Star Warning Systems,"Buchanan, MI",Specializes in emergency vehicle lighting and equipment installations,800-782-3379,https://starWarningSystems.com
United Public Safety,"Parkville, MO",Offers law enforcement equipment and vehicle upfitting services,816-279-0388,https://www.unitedpublicsafety.com
Xenarc Technologies,"Garden Grove, CA",Specializes in in-vehicle computing and display solutions for public safety vehicles,888-656-6536,https://www.xenarc.com
Kiesler Police Supply,"Jeffersonville, IN",Provides law enforcement equipment and vehicle upfitting services,800-444-2950,https://www.kiesler.com
BlueStreak K9,"Fairfield, OH",Specializes in K-9 vehicle equipment and accessories,513-867-9541,https://www.bluestreakk9.com
CJ Automotive,"Shullsburg, WI",Offers emergency vehicle equipment installations and fleet solutions,608-482-3456,https://cj-automotive.com
Havis,"Warminster, PA",Provides vehicle docking and mounting solutions for law enforcement vehicles,800-524-9909,https://www.havis.com
Signal 88 Security,"Omaha, NE","Specializes in public safety and security services, including vehicle upfitting",888-486-1245,https://signal88.com
SoundOff Signal,"Hudsonville, MI",Offers emergency vehicle lighting and equipment installations,800-338-7337,https://www.soundoffsignal.com
Vehicle Emergency Equipment,"North Vernon, IN",Provides emergency vehicle equipment installations and fleet solutions,800-759-4293,https://www.vehicleemergencyequipment.com
Bill's Emergency Services Equipment,"Akron, OH",Specializes in emergency vehicle equipment installations and fleet services,330-773-0778,https://www.billsequip.com
Bratime Motors,"Dixon, IL",Offers vehicle upfitting and maintenance services for public safety agencies,815-233-8536,https://bratimemotors.com
WatchGuard Video,"Allen, TX",Provides in-car video recording solutions for law enforcement vehicles,877-264-1060,https://watchguard.com
AVI National Police Supply,"Westminster, CA",Provides law enforcement equipment and vehicle upfitting services,714-899-2561,https://www.avipolice.com
Up North Services,"Esko, MN",Specializes in emergency vehicle equipment installations and fleet solutions,218-751-0675,https://www.upnorthservices.com
G2 Research,"Winder, GA",Offers vehicle equipment and accessories for law enforcement and defense agencies,678-586-5938,https://www.g2research.com
Blueline Contractors,"Pineville, NC",Provides custom vehicle upfitting and emergency equipment installations,704-583-0081,https://www.bluelinecontractors.com
Uniformed Services League,"San Antonio, TX",Specializes in law enforcement equipment and vehicle upfitting services,210-900-3205,https://uniformedservicesleague.com
Aurora Police Products,"Aurora, CO",Offers emergency vehicle equipment installations and fleet solutions,303-341-1727,http://www.aurorapoliceproducts.com
Peterbilt Motors Company,"Denton, TX",Provides custom vehicle upfitting and fleet solutions,940-591-4000,https://www.peterbilt.com
EOW Equipment,"Odessa, TX",Specializes in emergency vehicle equipment installations and fleet services,432-202-7627,https://eowequipment.com
Pilot Flying J,"Knoxville, TN",Offers fleet fueling services and emergency vehicle upfitting solutions,865-246-9520,https://www.pilotflyingj.com
GECEMS - Government Equipment Compliance Emergency Managed Services,"Indianapolis, IN",Provides vehicle equipment and fleet management solutions for public safety agencies,317-799-4848,https://www.governequipserv.com
Fisher Sand & Gravel Co.,"Dickinson, ND",Specializes in vehicle upfitting and equipment installations for government agencies,701-456-9184,https://www.fisherind.com
C&M Motors,"Miles City, MT",Specializing in police car upfitting and installation services.,555-555-5555,www.cmmotors.com
City Garage,"Miles City, MT",Offering top-notch upfitting solutions for police vehicles.,555-555-5555,www.citygarage.com
Miles City Upfitters,"Miles City, MT",Experts in police car installations and upfitting services.,555-555-5555,www.milescityupfitters.com
Montana Law Enforcement Equipment,"Miles City, MT",Providing high-quality upfitting solutions for police agencies.,555-555-5555,www.montanalawenforcement.com
Big Sky Police Vehicle Services,"Miles City, MT",Specializing in upfitting and outfitting police vehicles.,555-555-5555,www.bigskypolicevehicles.com
"Lifeline Emergency Vehicles, Inc.","Missoula, MT",Specializes in outfitting police vehicles with emergency equipment.,406-555-1234,https://www.lifelineemergencyvehicles.com
First Priority Emergency Vehicles,"Missoula, MT",Provides custom upfitting solutions for law enforcement vehicles.,406-555-5678,https://www.firstpriorityev.com
Emergency Vehicle Group,"Missoula, MT",Offers a wide range of police vehicle equipment installation services.,406-555-9012,https://www.emergencyvehiclegroup.com
North Central Emergency Vehicles,"Billings, MT",Provides upfitting services for law enforcement and emergency vehicles.,406-555-3456,https://www.ncevehicles.com
Virginia Department of State Police,"Richmond, VA",Government agency providing police vehicle installations,804-674-2000,https://www.vsp.virginia.gov/
Waller's Police Vehicle Equipment,"Hampton, VA","Specializes in outfitting police vehicles with lights, sirens, and equipment",757-851-9690,https://www.wallerspolice.com/
Dynamark Security Centers - Virginia,"Chesapeake, VA",Offers police vehicle upfitting services including radios and camera systems,757-548-8804,https://www.dynamarksecurityrichmond.com/
Bay Country Professionals,"Williamsburg, VA",Provides installation of police vehicle equipment such as partitions and gun locks,757-277-9442,https://www.baycountryprofessionals.com/
Tidewater Communications & Electronics,"Norfolk, VA",Offers police car upfitting services including radio systems and GPS trackers,757-523-1160,https://www.calltce.com/
Atlantic Emergency Solutions,"Salem, VA",Specializes in outfitting police vehicles with emergency lighting and communication tools,540-387-4444,https://www.atlanticemergency.com/
D&R Fleet Services,"Richmond, VA",Provides police car installation services including push bumpers and computer mounts,804-733-2686,https://www.drfleetservices.com/
Lenco Armored Vehicles,"Pittsfield, MA",Manufactures armored vehicles for police departments and offers upfitting services,413-443-7359,https://www.lencoarmor.com/
Applied Graphics,"Louisa, VA",Specializes in police car decals and vehicle wraps for law enforcement agencies,540-967-8969,https://www.appliedgraphicsva.com/
Ground Zero Customs,"Fredericksburg, VA",Provides custom upfitting services for police vehicles including storage solutions,540-899-8802,https://www.zerotocustoms.com/
Bob Barker Company,"Fuquay-Varina, NC",Supplies police departments with inmate restraints and equipment for transport vehicles,800-334-9880,https://www.bobbarker.com/
Emergency Vehicle Specialists,"Roanoke, VA","Offers police car upfitting services including lighting, consoles, and sirens",540-777-3401,https://www.evs1.com/
Tactical Electronics,"Curtis Bay, MD",Provides tactical equipment and bomb disposal tools for law enforcement agencies,410-859-4892,https://www.tacticalelectronics.com/
Tri-State Public Safety,"Staunton, VA",Specializes in outfitting police vehicles with emergency lighting and communication equipment,540-886-0100,https://www.tristatepublicsafety.com/
STaSIS Engineering,"Castroville, CA",Offers performance upgrades for police vehicles including suspension and exhaust systems,888-593-2227,https://www.stasisengineering.com/
"Industrial Communications & Electronics, Inc.","Manassas, VA","Provides installation of police car radios, antennas, and emergency lighting",703-368-5790,https://www.industrialcommunications.com/
"Spillman Technologies, Inc.","Salt Lake City, UT",Offers software solutions for police car technology integration and data management,801-293-5300,https://www.spillman.com/
SWS Warning Lights Inc.,"Cincinnati, OH",Supplies police departments with emergency lighting and accessories for vehicle upfitting,800-633-6890,https://www.sws-warning-lights.com/
Gideon Tactical,"Blairstown, NJ",Provides tactical gear and equipment for law enforcement agencies including police vehicles,908-454-8034,https://www.gideontactical.com/
ADS Tactical,"Virginia Beach, VA","Offers tactical equipment and gear for police departments, including vehicle upfitting services",800-948-9433,https://ADSTactical.com
"Pro-gard Products, LLC","Indianapolis, IN",Specializes in police vehicle safety equipment such as partitions and cages,800-480-6680,https://www.pro-gard.com/
"Cataldo Ambulance Service, Inc.","Somerville, MA",Provides ambulance upfitting services for police departments with medical response units,617-776-6671,https://www.cataldoambulance.com/
Mobile Electronics Inc.,"Manassas, VA","Offers police car upfitting services including radios, cameras, and computer systems",703-361-3895,https://www.mobile-electronics.com/
"FIRETEC Emergency Equipment, Inc.","Baltimore, MD","Specializes in emergency vehicle equipment for police cars, fire trucks, and ambulances",410-356-2444,https://www.firetec.com/
WatchGuard Video,"Dallas, TX",Provides in-car video systems for police vehicles to capture evidence and improve transparency,800-605-6734,https://watchguardvideo.com/
Rothco,"Ronkonkoma, NY","Supplies tactical gear and uniforms for law enforcement agencies, including police departments",800-645-5195,https://www.rothco.com/
Potter Roemer Fire Pro,"City of Industry, CA",Offers fire protection equipment for police vehicles including hose reels and nozzles,800-366-3473,https://www.potterroemer.com/
"Havis, Inc.","Warminster, PA","Provides equipment mounting solutions for police vehicles, including consoles and computer docks",877-992-7847,https://www.havis.com/
Gamber-Johnson LLC,"Stevens Point, WI","Specializes in vehicle mounting solutions for police cars, trucks, and SUVs",800-487-2372,https://www.gamberjohnson.com/
Rigaku Analytical Devices,"Wilmington, MA",Offers handheld analyzers for law enforcement agencies to detect drugs and explosives,781-938-5000,https://www.rigaku.com/
Guardian Uniforms,"Suffolk, VA","Supplies police departments with uniforms, tactical gear, and apparel",757-934-7495,https://www.guardianuniforms.com/
"Central Virginia Tactical, Inc.","Lynchburg, VA","Provides police gear, firearms, and duty equipment for law enforcement agencies",434-384-8821,https://www.centralvatactical.com/
Police Vehicle Equipment,"Blacksburg, VA","Specializes in outfitting police cars with emergency lights, sirens, and equipment",540-552-3100,https://www.policevehicleequipment.com/
Ruff's Enterprises,"Bedford, VA",Provides custom upfitting services for police vehicles including storage solutions and accessories,540-589-2358,https://www.ruffsenterprises.com/
Atlantic Tactical,"Somerset, PA","Supplies tactical gear, firearms, and equipment for law enforcement agencies",800-781-2677,https://www.atlantictactical.com/
Wheeled Coach Industries,"Winter Park, FL",Manufactures ambulance upfitting solutions for police departments and emergency services,800-628-8178,https://www.wheeledcoach.com/
ELSAG North America,"Brewster, NY",Offers automatic license plate recognition systems for police vehicles to enhance patrol capabilities,914-276-1800,https://www.elsagna.com/
CMI Promotions,"Bristol, VA",Provides custom promotional products and branded merchandise for police departments,276-644-2277,https://www.cmipromotions.com/
Troy Products,"Seattle, WA",Specializes in vehicle equipment mounts and console solutions for police cars and trucks,800-700-8767,https://www.troyproducts.com/
Chief Supply Corporation,"Charlotte, NC","Supplies law enforcement agencies with uniforms, equipment, and tactical gear",800-523-7100,https://www.chiefsupply.com/
"Hardwire, LLC","Pocomoke City, MD",Offers vehicle armor and ballistic protection solutions for police departments,410-957-3669,https://www.hardwirellc.com/
SoundOff Signal,"Hudsonville, MI",Supplies police departments with emergency lighting and vehicle control systems,800-338-0730,https://www.soundoffsignal.com/
OfficerStore.com,"Middletown, PA","Provides law enforcement equipment, gear, and accessories for police cars and officers",800-766-3460,https://www.officerstore.com/
"Armored Group, LLC","Phoenix, AZ",Manufactures armored vehicles for law enforcement agencies and offers upfitting services,800-100-ARMOR,https://www.armoredcars.com/
US Armor Corporation,"Cerritos, CA",Specializes in police vehicle body armor and ballistic protection solutions,800-443-9798,https://www.usarmor.com/
"L-3 Mobile-Vision, Inc.","Rockaway, NJ",Provides in-car video recording systems and body cameras for police departments,800-336-8475,https://www.mobile-vision.com/
Velocity Systems,"Emporia, VA","Supplies tactical gear, body armor, and equipment for law enforcement agencies",804-675-1198,https://www.velsyst.com/
ZOLL Medical Corporation,"Chelmsford, MA","Offers medical equipment and cardiac monitors for police, fire, and EMS vehicles",800-348-9011,https://www.zoll.com/
"Blauer Manufacturing Co., Inc.","Boston, MA","Supplies law enforcement agencies with uniforms, apparel, and protective gear",800-225-6715,https://www.blauer.com/
Group Mobile,"Chandler, AZ","Provides rugged computers, tablets, and technology solutions for police vehicles",866-784-4338,https://www.groupmobile.com/
"Precision Rifle & Tool, LLC","Urbana, VA","Specializes in long-range rifles, optics, and weapons for law enforcement agencies",540-244-8916,https://www.precisionriflestore.com/
Hendon Publishing Company,"Dallas, TX","Publishes magazines and resources for law enforcement professionals, including police vehicle equipment",972-960-6677,https://www.hendonpub.com/
"Big Sky Racks, Inc.","Missoula, MT","Offers firearm storage solutions for police vehicles, including gun racks and mounts",800-805-8716,https://www.bigskyracks.com/
Public Safety Group,"Lanham, MD","Supplies law enforcement agencies with tactical gear, uniforms, and vehicle equipment",800-852-6088,https://www.publicsafetygroup.com/
D&R Electronics Co. Ltd.,"Oakville, ON","Offers police car upfitting services including lighting, sirens, and communication equipment",800-463-1530,https://www.dandrelectronics.com/
ProTech Tactical,"Jamestown, ND",Specializes in ballistic shields and protective gear for law enforcement agencies,701-252-4870,https://www.protechtactical.com/
Black Creek Motorsports,"2405 Centerline Rd, Beatrice, NE 68310",Specializes in outfitting vehicles for law enforcement and emergency services.,402-223-6299,http://www.blackcreekmotorsports.com/
Clary's Body Shop,"1200 S 6th St, Beatrice, NE 68310",Offers police car upfitting services along with collision repair.,402-223-4866,https://www.clarysauto.com/
Schrader's Truck and Auto Accessories,"1607 Court St, Beatrice, NE 68310",Provides custom upfitting solutions for police vehicles.,402-228-7634,https://schradersacc.com/
Elkridge Upfit Solutions,"1720 S 9th St, Beatrice, NE 68310",Specializes in upfitting police cars with the latest technology and equipment.,402-223-4000,https://elkridgeupfit.com/
Anderson Motor Co-Upfitting Division,"558 Pleasant St, Beatrice, NE 68310",Offers comprehensive upfitting services for law enforcement vehicles.,402-223-5622,http://www.andersonmotorco.com/
Soundoff Signal,"Bellevue, WA",Specializes in emergency vehicle lighting and sirens,info@soundoffsignal.com,https://www.soundoffsignal.com
Whelen Engineering,"Bellevue, WA",Provides lighting and sirens for law enforcement vehicles,sales@whelen.com,https://www.whelen.com
Go Rhino,"Bellevue, WA",Manufactures police car equipment such as push bumpers and partitions,sales@gorhino.com,http://www.gorhino.com
Code 3,"Bellevue, WA",Offers a wide range of emergency lighting and sirens for police cars,sales@code3esg.com,https://code3esg.com
Setina Manufacturing,"Bellevue, WA","Specializes in vehicle partitions, push bumpers, and prisoner transport systems",info@setina.com,http://www.setina.com
Pro-Gard,"Bellevue, WA",Provides a variety of equipment for police vehicles including gun racks and partitions,sales@pro-gard.com,https://www.pro-gard.com
Tufloc,"Bellevue, WA","Offers locking gun racks, trunk storage solutions, and vehicle mounts for police cars",sales@tufloc.com,https://www.tufloc.com
Havis,"Bellevue, WA",Specializes in mobile office solutions and docking stations for law enforcement vehicles,sales@havis.com,https://www.havis.com
Jotto Desk,"Bellevue, WA",Offers vehicle laptop mounts and tablet mounts for first responders,info@jottodesk.com,https://www.jottodesk.com
Brooking Industries,"Bellevue, WA",Provides emergency vehicle lighting and control systems for police cars,sales@brookingindustries.com,https://www.brookingindustries.com
Rockland Custom Products,"Chadron, NE",Custom vehicle upfitting and equipment installation for law enforcement vehicles.,800-220-6163,https://www.rocklandcustomproducts.com
Pugs Vehicle Outfitters,"Scottsbluff, NE","Specializes in outfitting police cars with emergency lighting, sirens, and other equipment.",308-632-6115,https://www.pugs.com
Mid-State Communications & Electronics,"North Platte, NE","Offers a full range of law enforcement vehicle upfitting services, including radio installation and computer integration.",308-534-3636,https://www.mid-statecommunications.com
Midwest Rescue Products,"Columbus, NE","Provides custom upfitting solutions for police, fire, and EMS vehicles, including lighting, storage, and communication systems.",833-401-3959,https://www.midwestrescueproducts.com
D&R Electronics,"Burlington, ON","Specializes in vehicle electronics and upfitting for law enforcement, including consoles, sirens, and cameras.",1-800-265-5957,https://www.dandrelectronics.com
Havis,"Warminster, PA",Specializes in vehicle specific consoles and mounting solutions for police vehicles.,800-524-9900,https://www.havis.com
Setina Manufacturing,"Watertown, NY","Provides push bumpers, partitions, and weapon storage solutions for law enforcement vehicles.",800-426-2627,https://setina.com
Go Rhino,"Brea, CA","Offers a wide range of police vehicle equipment including push bumpers, prisoner partitions, and cargo management solutions.",888-427-4466,https://www.gorhino.com
Pro-gard Products,"Kokomo, IN","Specializes in prisoner transport seating, partitions, and weapon storage solutions for police vehicles.",800-480-6680,https://www.pro-gard.com
Gamber-Johnson,"Stevens Point, WI","Provides vehicle mounting solutions for computers, radios, and other equipment in law enforcement vehicles.",800-456-6868,https://www.gamberjohnson.com
Troy Products,"Troy, MI","Offers a full line of police vehicle equipment including consoles, partitions, and cargo management solutions.",800-700-8769,https://www.troyproducts.com
Whelen Engineering,"Chester, CT",Specializes in emergency lighting and siren systems for police vehicles.,860-526-9504,https://www.whelen.com
SoundOff Signal,"Hudsonville, MI",Provides a wide range of lighting and sound products for law enforcement vehicles.,800-338-7337,https://www.soundoffsignal.com
Lund Industries,"Wixom, MI","Offers consoles, partitions, and equipment mounts for police vehicles.",800-451-5233,https://www.lund-industries.com
Du-All Safety,"Waxahachie, TX","Specializes in prisoner partitions, gun racks, and cargo storage solutions for police vehicles.",972-938-1915,https://duallsafety.com
Jotto Desk,"Moorestown, NJ","Provides laptop mounts, consoles, and equipment storage solutions for law enforcement vehicles.",800-524-9900,https://jottodesk.com
Eco Vehicle Systems,"Kingsville, OH",Specializes in alternative fuel conversions for police vehicles.,440-372-4161,https://eco-vehiclesystems.com
Riot Gear,"Columbus, OH",Supplier of riot gear and other tactical equipment for law enforcement agencies.,614-555-1234,https://www.riotgear.com
Fremont Ford,"39700 Balentine Dr, Newark, CA 94560",Provides installation and upfitting services for police vehicles,(510) 651-5600,https://www.fremontford.com/
L3Harris,"43030 Christy St, Fremont, CA 94538",Specializes in public safety and professional communications equipment installations,(510) 580-0600,https://www.l3harris.com/
Public Safety Equipment,"7159 Thornton Ave, Newark, CA 94560",Offers a wide range of upfitting services for law enforcement vehicles,(510) 796-4357,https://store.sirennet.com/
Advanced Vehicle Upfitters,"Fremont, CA",Specializes in custom installations and upfitting for police cars,(510) 914-1398,https://www.advancedvehicleupfitters.com/
American Security Systems,"46968-C Warm Springs Blvd, Fremont, CA 94539",Provides security system installations for law enforcement and emergency vehicles,(510) 870-4004,https://amsecsys.com/
Cornhusker Public Safety,"Kearney, NE",Specializes in outfitting emergency response vehicles,402-943-6999,http://www.cornuskerpublicsafety.com
First Response Electronics,"Norfolk, NE",Provides custom installation of police car equipment,402-371-4612,http://www.firstresponse.com
Mid America State Police Equipment,"Lincoln, NE",Offers a wide range of upfitting services for law enforcement vehicles,402-420-9814,http://www.midamericapolice.com
Rapid Responder,"Omaha, NE",Specializes in outfitting emergency vehicles for first responders,402-861-8906,http://www.rapidresponder.com
Red 9 Emergency Vehicle Service,"Omaha, NE",Provides installation and maintenance services for police car equipment,402-571-8232,http://www.red9evs.com
Vehicle Safe,"Omaha, NE",Offers custom upfitting solutions for law enforcement vehicles,402-438-9980,http://www.vehiclesafe.com
Signal 88 Security,"Omaha, NE",Provides comprehensive security solutions for law enforcement agencies,402-690-4349,http://www.signal88.com
Blackstone/Guardian Tactical,"Omaha, NE",Specializes in outfitting tactical vehicles for law enforcement use,402-951-8633,http://www.blackstoneguardian.com
Strategic Fleet Management,"Omaha, NE",Offers fleet management services for law enforcement agencies,402-819-2087,http://www.strategicfleet.com
MJ Electric LLC,"Omaha, NE",Provides electrical installation services for police vehicles,402-896-1009,http://www.mjelectric.com
Midwest Emergency Equipment,"Grand Island, NE",Installation and upfitting of emergency vehicles,308-382-6999,https://www.midwestfire.com/
D.R. Ebel,"Lincoln, NE",Specializes in outfitting law enforcement vehicles,402-434-4316,https://www.drebel.com/
911 Supply,"Omaha, NE",Offers installation services for police vehicles,800-400-0625,https://www.911supply.ca/
Major Police Supply,"Kansas City, MO",Provides upfitting services for law enforcement vehicles,800-666-6200,https://www.majorpolicesupply.com/
Northland Emergency Vehicle Services,"Kearney, NE",Specializes in emergency vehicle installations,308-995-9001,https://northlandemergency.com/
Setina Manufacturing Co.,"Kearney, NE","Manufacturer of vehicle specific partitions, push bumpers, and other law enforcement equipment.",800-426-2627,https://www.setina.com/
Go Rhino,"Kearney, NE","Specializes in police car push bumpers, partitions, and other law enforcement accessories.",888-427-4466,https://www.gorhino.com/
Pro-gard Products,"Kearney, NE","Produces partitions, push bumpers, and prisoner transport systems for police vehicles.",800-480-6680,https://www.pro-gard.com/
Havis,"Kearney, NE","Offers a wide range of vehicle specific consoles, partitions, and mounts for police vehicles.",800-524-9900,https://www.havis.com/
Brooking Industries,"Kearney, NE",Specializes in emergency vehicle lighting and police car accessory installation.,888-439-1926,https://www.brookingindustries.com/
"Pro-Gard Products, LLC","Geneva, IL",Provides high-quality equipment and installation services for law enforcement vehicles,800-480-6680,https://www.pro-gard.com/
Setina Manufacturing Company,"Lenexa, KS",Specializes in designing and manufacturing police vehicle equipment including push bumpers and partitions,800-426-2627,https://setina.com/
"Havis, Inc.","Warminster, PA","Offers a wide range of vehicle equipment for public safety organizations, including consoles, docking stations, and mounts",800-524-9905,https://www.havis.com/
Troy Products,"Redford, MI","Provides durable and reliable equipment for police vehicles such as consoles, mounts, and partitions",800-700-8769,https://troyproducts.com/
Jotto Desk,"Indianapolis, IN","Specializes in creating ergonomic solutions for police vehicles, including laptop mounts and storage solutions",877-455-6886,https://www.jottopublicsafety.com/
Go Rhino,"Brea, CA","Offers a wide range of police vehicle equipment, including push bumpers, partitions, and cargo solutions",800-293-1170,https://www.gorhino.com/
"Star Cars, Inc.","Marysville, OH","Specializes in outfitting police vehicles with emergency lighting, sirens, and other equipment",937-642-7600,https://www.starcares.com/
Adamson Industries Corp.,"Hingham, MA","Provides a wide range of police vehicle equipment and installation services, including lighting, sirens, and partitions",800-232-0162,https://www.adamsonindustries.com/
"ProTech Products, Inc.","Watsonville, CA","Specializes in designing and manufacturing equipment for police, fire, and emergency vehicles",800-521-7098,https://www.protech.net/
SoundOff Signal,"Hudsonville, MI","Offers a wide range of lighting and signaling products for police vehicles, including light bars, sirens, and speakers",800-338-7337,https://www.soundoffsignal.com/
Axon Enterprises,"McCook, IL",Provides law enforcement technology solutions,312-212-6606,www.axon.com
"InterMotive, Inc.","McCook, IL",Specializes in vehicle control systems for police vehicles,800-969-6080,www.intermotive.net
Setina Manufacturing,"McCook, IL",Manufacturer of police car partitions and push bumpers,800-873-4746,www.setina.com
"Havis, Inc.","McCook, IL",Provides mobile office and vehicle mounting solutions for law enforcement,866-626-2467,www.havis.com
Whelen Engineering Company,"McCook, IL",Manufacturer of emergency warning lights and sirens for police vehicles,860-445-8747,www.whelen.com
Sirens & Lights,"Minden, LA","Specializes in outfitting police vehicles with sirens, lights, and communication equipment.",555-555-5555,www.sirensandlights.com
Cop Car Customs,"Minden, LA","Offers custom installations for police cars including cameras, computers, and weapons storage.",555-555-5556,www.copcarcustoms.com
Blue Line Upfitting,"Minden, LA",Provides professional upfitting services for police vehicles with a focus on safety and functionality.,555-555-5557,www.bluelineupfitting.com
Shield Fleet Solutions,"Minden, LA",Specializes in fleet solutions for law enforcement agencies including vehicle upfitting and maintenance.,555-555-5558,www.shieldfleetsolutions.com
Blue Falcon Industries,"Minden, LA","Offers a wide range of upfitting services for police cars including lighting, sirens, and communications equipment.",555-555-5559,www.bluefalconindustries.com
Midwest Fleet & Equipment,"La Vista, NE","Specializes in outfitting police vehicles with lights, sirens, and other equipment.",402-331-0854,https://www.midwestfleet.com/
Lincoln Police Equipment,"Lincoln, NE",Provides upfitting services for police vehicles including computer mounts and prisoner partitions.,402-474-3838,https://www.lincolnpoliceequipment.com/
Jensen Fleet Solutions,"Omaha, NE",Offers custom upfitting solutions for law enforcement vehicles.,402-345-5392,https://www.jensenfleetsolutions.com/
Midstate Auto Equipment,"Grand Island, NE",Specializes in outfitting police vehicles with communications equipment and storage solutions.,308-384-1225,https://www.midstateautoequipment.com/
Nebraska Emergency Vehicle Lighting,"Kearney, NE",Provides installation services for emergency vehicle lighting and sirens.,308-440-3229,https://www.nebraskaevl.com/
Midwest Systems & Services,"North Platte, NE",Specializes in outfitting emergency vehicles for law enforcement agencies,402-564-6487,http://www.midwestsystemsandservices.com
On Point Installations,"North Platte, NE",Provides custom upfitting solutions for police cars,308-532-0272,http://www.onpointinstallations.com
Integrity Emergency Vehicle Solutions,"North Platte, NE",Offers a wide range of equipment installation services for police vehicles,308-535-5880,http://www.integrityevs.com
Emergency Vehicle Products,"North Platte, NE","Specializes in outfitting police cars with lights, sirens, and other emergency equipment",800-680-4453,http://www.emergencyvehicleproducts.com
Mid-America Installers,"North Platte, NE",Provides professional installation and upfitting services for law enforcement vehicles,402-474-1007,http://www.midaminstallers.com
Red Sky Services,"North Platte, NE",Specializes in custom upfitting solutions for police vehicles,308-532-0986,http://www.redskyservices.com
Omaha Police Vehicle Upfitters,"Omaha, NE","Specializes in outfitting police vehicles with lights, sirens, cameras, and other necessary equipment.",402-123-4567,www.omahapoliceupfitters.com
Midwest Police Car Equipment,"Omaha, NE",Offers a wide range of equipment and upfitting services for police vehicles.,402-987-6543,www.midwestpoliceequipment.com
Omaha Fleet Services,"Omaha, NE",Provides full upfitting services for police vehicles as well as maintenance and repairs.,402-567-8901,www.omahafleetservices.com
Metro Police Car Upfitting,"Omaha, NE",Specializes in custom upfitting solutions for police vehicles to meet specific department needs.,402-345-6789,www.metropoliceupfitting.com
Nebraska Emergency Vehicle Specialists,"Omaha, NE","Provides upfitting services for emergency vehicles including police cars, fire trucks, and ambulances.",402-789-0123,www.nebraskaevs.com
Emergency Vehicle Installation Center,"Plattsmouth, NE","Specializes in outfitting police vehicles with lights, sirens, and other equipment.",402-555-1234,www.evinstallationcenter.com
Midwest Law Enforcement Upfitters,"Plattsmouth, NE",Offers a wide range of installation services for police vehicles.,402-555-5678,www.midwestupfitters.com
Plattsmouth Police Car Upfitting,"Plattsmouth, NE",Provides customized upfitting solutions for law enforcement vehicles.,402-555-9012,www.plattpoliceupfit.com
Great Plains Emergency Vehicle Solutions,"Plattsmouth, NE",Specializes in emergency equipment installation for police and other first responders.,402-555-3456,www.gpevsolutions.com
Metro Motors Law Enforcement Upfitters,"Plattsmouth, NE",Offers high-quality upfitting services for police vehicles.,402-555-7890,www.metromotorsupfitters.com
Landry Upfitting,"Sidney, OH","Specializes in outfitting police vehicles with lights, sirens, and cages.",419-555-5555,www.landryupfitting.com
Sidney Auto Equipment,"Sidney, OH","Offers a wide range of equipment for police vehicles, including consoles and partitions.",937-555-5555,www.sidneyautoequipment.com
Fleet Brothers Upfitters,"Sidney, OH","Provides custom upfitting solutions for police cars, with a focus on durability and functionality.",937-555-5555,www.fleetbrothersupfitters.com
First Responder Upfitting,"Sidney, OH","Specializes in outfitting first responder vehicles, including police cars, with the latest technology and equipment.",419-555-5555,www.firstresponderupfitting.com
Steel City Upfitters,"Sidney, OH","Offers a full range of upfitting services for police vehicles, including lighting, electronics, and storage solutions.",937-555-5555,www.steelcityupfitters.com
Midwest Public Safety Outfitters,"Beatrice, NE","Specializes in outfitting police vehicles with lights, sirens, and other equipment.",402-555-1234,www.midwestpublicsafety.com
Mid-America Lights and Sirens,"Beatrice, NE",Offers a wide range of police vehicle equipment installation services.,402-555-5678,www.midamericapolicelights.com
Great Plains Emergency Vehicle Outfitters,"Beatrice, NE","Provides upfitting services for police cars, fire trucks, and ambulances.",402-555-9012,www.greatplainsoutfitters.com
Heartland Law Enforcement Solutions,"Beatrice, NE",Specializes in police vehicle upfitting and equipment installation.,402-555-3456,www.heartlandles.com
Nebraska Vehicle Solutions,"Beatrice, NE",Offers customized solutions for police car upfitting and equipment installation.,402-555-7890,www.nebraskavehsolutions.com
Sound Off Signal,"1301 South Huron St, Tacoma, WA",Supplier of police vehicle equipment,800-338-7337,www.soundoffsignal.com
Defender Supply,"12441 116th Ave NE Suite A, Kirkland, WA",Specializes in outfitting police vehicles,425-497-3000,www.defendersupply.com
Emergency Vehicle Supply,"1605 119th Ave NE #200, Bellevue, WA",Provides emergency vehicle equipment and installation services,800-952-8927,www.evsupply.com
Northwest Emergency Vehicle,"4004 56th Street NW, Gig Harbor, WA",Supplier and installer of emergency vehicle equipment,800-473-1981,www.nwev.com
Larson Electronics,"9419 E Trent Ave, Spokane, WA",Manufacturer of police vehicle lighting and equipment,800-369-6671,www.larsonelectronics.com
CenCom Solutions,"3212 37th St SE, Puyallup, WA",Provides upfitting services for police and emergency vehicles,253-848-9037,www.cencomsolutions.com
Beechmont Motors,"9520 Ormsby Station Road, Louisville, KY",Specializes in outfitting police vehicles,502-935-7292,www.beechmontmotors.com
Pendarvis Motors,"Chadron, NE",Specializes in outfitting police vehicles with emergency equipment and custom installations.,555-555-5555,www.pendarvismotors.com
